,Cluster,Biomarker,Relations
2571,415,Neurofilament light,"[{'article': 'PMC10710152.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC10710152.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8053280.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Treatment effect in Alzheimer's Disease""}, {'article': 'PMC7890889.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7995588.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
2572,415,Neurofilament light (NfL),"[{'article': 'PMC8314554.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7890889.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease progression""}, {'article': 'PMC9373273.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2573,415,Neurofilament light chain,"[{'article': 'PMC8157623.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6182869.txt', 'relationship': 'NOT_USED_TO_DIAGNOSE', 'object': 'No significant changes in levels'}, {'article': 'PMC6966425.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2574,415,Neurofilament light chain (NFL),"[{'article': 'PMC4936020.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7067750.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease""}]"
2575,415,Neurofilament light chain (NfL),"[{'article': 'PMC10787596.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Dementia'}, {'article': 'PMC8053280.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8287201.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8416781.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
2576,415,Neurofilament light chain (NfL) in CSF,"[{'article': 'PMC7424995.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7424995.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
4324,415,neurofilament light,"[{'article': 'PMC10710152.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9297091.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9297091.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Alzheimer's Disease treatment""}, {'article': 'PMC9297091.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
4325,415,neurofilament light (NfL),"[{'article': 'PMC7223540.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Neurodegeneration in Alzheimer's Disease""}]"
4433,415,plasma neurofilament light chain,"[{'article': 'PMC10710152.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
4327,415,neurofilament light chain (NFL),"[{'article': 'PMC8381483.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7067750.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease""}]"
766,415,Blood neurofilament light (NfL),"[{'article': 'PMC8043944.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2596,415,NfL (Neurofilament light chain),"[{'article': 'PMC5668981.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
2597,415,NfL (Neurofilament light),"[{'article': 'PMC7721364.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of: Neurodegeneration in Alzheimer's Disease""}]"
2598,415,NfL (Neurofilament-light chain),"[{'article': 'PMC10710152.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
4326,415,neurofilament light chain,"[{'article': 'PMC8157623.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease progression""}, {'article': 'PMC6182869.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
779,416,Bowel Movements,"[{'article': 'PMC7413274.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease""}]"
1233,416,Crohn’s Disease,"[{'article': 'PMC7089534.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]"
3667,416,Ulcerative Colitis,"[{'article': 'PMC7089534.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]"
2078,416,Inflammatory Bowel Disease,"[{'article': 'PMC7089534.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]"
3815,417,Word count in conversations,"[{'article': 'PMC4526336.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Mild Cognitive Impairment'}]"
3813,417,Word Frequency,"[{'article': 'PMC5147824.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]"
4448,417,proportion of word counts,"[{'article': 'PMC4526336.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Mild Cognitive Impairment'}, {'article': 'PMC4526336.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence of: Mild Cognitive Impairment'}]"
2956,417,Proportion of spoken words during free conversation,"[{'article': 'PMC4526336.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Early signs of Alzheimer's Disease""}]"
2958,417,Proportion of words spoken by participants,"[{'article': 'PMC4526336.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Mild cognitive impairment (MCI) related to Alzheimer's Disease""}]"
2957,417,Proportion of spoken words in conversation,"[{'article': 'PMC4526336.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Mild Cognitive Impairment (MCI)'}]"
2649,418,Other bacteria (enterotype III),"[{'article': 'PMC6353871.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Dementia'}, {'article': 'PMC6353871.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Dementia'}]"
1463,418,Enterotype I,"[{'article': 'PMC6920432.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'higher prevalence of cerebral small vessel disease (SVD) components, such as white matter hypersensitivity (WMH)'}, {'article': 'PMC6920432.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'lower global cognitive function'}, {'article': 'PMC6920432.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'higher voxel-based specific regional analysis system for Alzheimer’s Disease (VSRAD) scores'}, {'article': 'PMC6920432.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Mild Cognitive Impairment'}]"
1464,418,Enterotype III,"[{'article': 'PMC6353871.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Higher risk of Alzheimer's Disease""}, {'article': 'PMC6920432.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'lower prevalence of cerebral SVD components, such as white matter hypersensitivity (WMH)'}, {'article': 'PMC6920432.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'lower voxel-based specific regional analysis system for Alzheimer’s Disease (VSRAD) scores'}, {'article': 'PMC6920432.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'increased global cognitive function'}, {'article': 'PMC6920432.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Mild Cognitive Impairment'}]"
306,419,Activities of Daily Living (ADLs),"[{'article': 'PMC4666316.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease progression""}]"
305,419,Activities of Daily Living (ADL) scale score,"[{'article': 'PMC3212921.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence: Dependence in daily living activities'}]"
66,419,4-item Instrumental Activities of Daily Living scale (IADL-PAQUID) score,"[{'article': 'PMC3212921.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence: Disability in instrumental activities'}]"
2088,419,Instrumental Activities of Daily Living (IADLs),"[{'article': 'PMC6521224.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of: Functional decline in Alzheimer's Disease""}]"
149,419,ADL (Activities of Daily Living),"[{'article': 'PMC5359367.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
1958,419,IADL (instrumental activities of daily living),"[{'article': 'PMC3382377.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Functional status in Alzheimer's Disease""}]"
150,419,ADL (activities of daily living),"[{'article': 'PMC3382377.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Functional status in Alzheimer's Disease""}]"
987,420,CTF-β,"[{'article': 'PMC7389451.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}, {'article': 'PMC7389451.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7389451.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of Alzheimer's Disease""}]"
219,420,APP CTFs,"[{'article': 'PMC2880593.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
986,420,CTF-α,"[{'article': 'PMC7389451.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}, {'article': 'PMC7389451.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7389451.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of Alzheimer's Disease""}]"
3263,421,Slow-wave sleep (SWS),"[{'article': 'PMC9053232.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Deep NREM sleep'}]"
3261,421,Slow wave,"[{'article': 'PMC4879492.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
4495,421,slow waves,"[{'article': 'PMC9053232.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""lower amyloid burden in older adults, which is associated with Alzheimer's Disease""}]"
3262,421,Slow wave latency,"[{'article': 'PMC4879492.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Early-onset Alzheimer's Disease""}]"
4240,421,lowSWA (low-frequency slow wave activity),"[{'article': 'PMC9053232.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Auditory slow wave stimulation'}, {'article': 'PMC9053232.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': 'Auditory slow wave stimulation'}]"
4210,421,induced second slow-wave peak,"[{'article': 'PMC11493878.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Aβ42/Aβ40 ratio improvement'}]"
3258,421,Slow Wave (SW) activity,"[{'article': 'PMC11493878.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease progression""}]"
3257,421,Slow Oscillations (SO),"[{'article': 'PMC10758173.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Improvement in memory performance'}]"
923,422,CIBIS-plus,"[{'article': 'PMC3226311.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Global function in Alzheimer's Disease patients""}]"
922,422,CIBIC-plus,"[{'article': 'PMC9972756.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Clinical improvement in Alzheimer's Disease""}]"
921,422,CIBIC-Plus,"[{'article': 'PMC8439008.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
920,422,CIBIC,"[{'article': 'PMC5067903.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2244,423,M1 microglia,"[{'article': 'PMC6796854.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6796854.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Late-stage Alzheimer's Disease""}]"
4291,423,microglia,"[{'article': 'PMC8258160.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease prognosis""}]"
2245,423,M1-type microglia,"[{'article': 'PMC6796854.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2246,423,M2 microglia,"[{'article': 'PMC6796854.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6796854.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Early-stage Alzheimer's Disease""}]"
2410,423,Microglia,"[{'article': 'PMC6879435.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2411,423,Microglia activation,"[{'article': 'PMC3741576.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease prognosis""}]"
2412,423,Microglial activation,"[{'article': 'PMC3362564.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'XPro1595 treatment'}, {'article': 'PMC8043748.txt', 'relationship': 'PREDICTS_AD_PROGRESSION', 'object': 'Microglial activation predicts AD progression via Aβ plaque load'}, {'article': 'PMC6448216.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6796854.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6879435.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Treatment: Alzheimer's Disease progression""}]"
4292,423,microglial activation,"[{'article': 'PMC6796854.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Response: Reduced microglial activation in Alzheimer's Disease mice treated with GV-971""}]"
302,423,Activated microglia,"[{'article': 'PMC4847010.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Neuroinflammation in Alzheimer's Disease""}]"
1354,424,Digit-symbol substitution,"[{'article': 'PMC9340683.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Change in attention in participants with mild to moderate Alzheimer's disease""}, {'article': 'PMC9340683.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC9340683.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
3349,424,Symbol Digit Modalities Test (SDMT),"[{'article': 'PMC3110111.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7693499.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive decline in Alzheimer's Disease""}, {'article': 'PMC7693499.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Activities of Daily Living (ADL) in Alzheimer's Disease""}]"
1349,424,Digit Symbol,"[{'article': 'PMC4876902.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Disease Progression in Alzheimer's Disease""}]"
1489,426,Evans Blue (EB),"[{'article': 'PMC4747225.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Blood-Brain Barrier Disruption'}]"
2402,426,Methylene Blue,"[{'article': 'PMC3836814.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Alzheimer's Disease""}]"
773,426,"Bluish color temperature (4,440–9,325 K)","[{'article': 'PMC9116897.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Reduction in agitation in Alzheimer's Disease patients""}]"
2403,426,Methylene Blue (MB),"[{'article': 'PMC3467226.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC3467226.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence of: Hypometabolism in the posterior cingulate/retrosplenial cortex'}, {'article': 'PMC3467226.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Prognosis: Slowed progression of AD pathology and cognitive function decline'}, {'article': 'PMC3467226.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Treatment: Neuroprotective strategies for Alzheimer's Disease""}]"
4114,427,endosome number,"[{'article': 'PMC5068716.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
4118,427,enlarged endosomes,"[{'article': 'PMC5068716.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5068716.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
4115,427,endosome volume,"[{'article': 'PMC5068716.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
2364,427,Mean Endosome Volume (MEV),"[{'article': 'PMC5068716.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
1459,427,Endosomal volume,"[{'article': 'PMC5068716.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Early-onset Alzheimer's Disease""}]"
3243,428,Similarities (WAIS-III),"[{'article': 'PMC3110111.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
2026,428,IQ-CODE,"[{'article': 'PMC3481364.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Cognitive decline in Alzheimer's Disease""}, {'article': 'PMC3481364.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Cognitive decline in Alzheimer's Disease""}]"
3748,428,WAIS-IV Coding,"[{'article': 'PMC6521224.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Cognitive impairment in Alzheimer's Disease""}]"
2358,428,Matrices (WAIS-III),"[{'article': 'PMC3110111.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
3780,428,Wechsler Adult Intelligence Scale (WAIS),"[{'article': 'PMC3394709.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive decline in Alzheimer's Disease""}]"
2742,429,PHLPP-1,"[{'article': 'PMC9962062.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]"
2743,429,PHLPP-2,"[{'article': 'PMC9962062.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]"
1683,429,GLP-1 Analog,"[{'article': 'PMC4877513.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Treatment of Alzheimer's Disease""}, {'article': 'PMC4877513.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': ""Target for treating Alzheimer's Disease""}]"
184,429,APLP1β17,"[{'article': 'PMC4780148.txt', 'relationship': 'RESPONDED_TO', 'object': 'Semagacestat treatment'}]"
183,429,APLP1,"[{'article': 'PMC4780148.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
1682,429,GLP-1,"[{'article': 'PMC8470960.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Improved cognitive functioning in Alzheimer's Disease""}, {'article': 'PMC5445077.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC5445077.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Neuroprotection in Alzheimer's Disease""}, {'article': 'PMC5445077.txt', 'relationship': 'REDUCES_Aβ_LOAD_IN', 'object': ' Vivo and in cultured neuronal cells'}, {'article': 'PMC6448216.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis and treatment of Alzheimer's Disease""}]"
481,429,Apold1,"[{'article': 'PMC8581408.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Endothelial cell signaling and BBB integrity'}]"
1344,430,Diffuse loss of brain volume,"[{'article': 'PMC5372150.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Alzheimer's Disease""}]"
788,430,Brain Volume Loss,"[{'article': 'PMC5372150.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Associated with future cognitive deterioration and conversion to dementia'}]"
